Farm_ID,Soil_pH,Soil_Moisture,Temperature_C,Rainfall_mm,Crop_Type,Fertilizer_Usage_kg,Pesticide_Usage_kg,Crop_Yield_ton,Sustainability_Score
1,7.073642685,49.14535876,26.66815662,227.8909122,Wheat,131.6928438,2.958214628,1.576919924,51.91364942
2,6.236931178,21.49611539,29.32534237,244.0174933,Soybean,136.3704916,19.20477029,3.824685657,47.15907682
3,5.922334985,19.46904233,17.66641427,141.1105208,Corn,99.72521025,11.04106564,1.133197626,50.14841841
4,6.845119842,27.97423366,17.1887222,156.7856634,Wheat,194.8323964,8.806270973,8.87054037,89.76455695
5,6.934170572,33.63767886,23.60389898,77.85936216,Corn,57.27126667,3.74755349,8.779317423,51.03394071
6,6.133678816,15.94052981,30.45137755,296.6214987,Rice,96.48208665,3.268164822,2.043708172,23.02553366
7,7.406252116,41.55515223,25.7691606,54.34663988,Soybean,159.2078947,13.67145932,6.177211062,88.86869782
8,7.020796377,35.17009772,22.71970303,292.3587912,Soybean,180.4433682,18.56883966,5.218131637,44.01634435
9,5.533615205,12.66923557,15.34864837,183.9309877,Wheat,191.5270106,3.23661513,7.801282071,80.16406771
10,6.273581603,13.35553391,23.03476008,199.6514943,Soybean,58.52286049,13.67473311,6.221388077,82.92912016
11,6.326380001,38.01797506,16.22863319,260.0381936,Corn,147.5768712,4.271011156,2.270263939,45.2402235
12,5.947965077,31.58770445,26.60919749,136.1513352,Corn,181.7787958,17.49050345,2.847876691,92.39488825
13,5.903197474,33.81437633,15.21450131,141.2191099,Rice,185.5352887,14.81882628,9.944867741,50.69621138
14,6.62281514,43.58187369,25.84953504,146.9905701,Corn,66.17822107,8.239870535,1.965047052,6.437271506
15,6.482790628,28.45560657,20.16197555,81.30023001,Soybean,75.3497294,9.359396963,5.320371374,90.84817382
16,7.054741218,19.65563771,27.96783233,148.6256197,Soybean,112.5792762,1.859710994,2.393491374,69.96140262
17,5.973365494,42.70974103,26.57520461,66.206919,Wheat,97.53434195,11.89559092,1.704859664,91.99243254
18,6.583093065,11.49824299,24.91873192,245.8916159,Corn,152.5383326,15.0497445,8.579189656,70.47337845
19,6.067465293,47.40177696,21.11402952,96.66830253,Wheat,110.9285964,9.234577227,6.975590799,92.31143714
20,6.2573911,44.8943542,26.4948929,60.31937745,Wheat,119.8332151,18.89456781,8.241526851,90.50510127
21,5.619689301,14.92308565,26.625861,173.9398903,Rice,153.4818606,1.420646862,7.067609961,82.11216129
22,6.447879714,21.06992292,31.9935067,99.72042966,Soybean,164.8289706,2.274568487,6.221686083,92.19705237
23,6.702037515,37.37437714,19.08674455,218.7816394,Rice,96.34290092,11.46544104,4.424074829,4.00452252
24,6.312419075,45.17864068,34.57784721,276.1756967,Rice,101.1519854,18.76646921,1.043748992,14.1963005
25,6.911487641,33.80629095,28.11304901,139.2177351,Corn,83.84049382,2.432380592,6.875110176,50.64319775
26,6.209887992,43.24296918,30.25071918,220.6325291,Soybean,132.0259992,18.33332243,7.619672245,85.31970721
27,7.410289573,34.68013432,31.82548472,87.33461302,Corn,72.55190765,5.514242041,5.98266841,54.66743906
28,5.667683835,21.95045888,29.99256113,93.5089567,Soybean,122.436766,4.598193466,5.103918462,26.17599398
